#;NAME;ELONG;ELAT;F0;PEPOCH;BINARY
1218;J1628-3205;250.37;-10.21;311.526480;55561;BT
1219;J1628+4406;229.913199;64.4120718;5.519419001073;56625;*
1220;J1628-4804;253.20;-25.97;1.15477313105;51073.000;*
1221;J1628-4828;253.29;-26.36;0.24168959255;51393.00001;*
1222;J1629+33;236.66;53.84;0.7;*;*
1223;J1629-3636;251.41;-14.61;0.3346504409;55000;*
1224;J1629-3825;251.64;-16.42;1.89982385907;56376;*
1225;J1629+43;230.86;63.38;5.5;*;*
1226;J1629-6902;258.42;-46.52;166.64990604074;51600.0;*
1227;J1630-2609;249.96;-4.27;0.52289775784;57214;*
1228;J1630+3734;234.97;58.33;301.37619254680;56136;ELL1
1229;J1630-4719;253.35;-25.18;1.78868051524;51340.000;*
1230;B1626-47;253.50;-25.38;1.73619728331;48414.0;*
1231;J1631-1612;248.78;5.62;1.47561419353;55766.0;*
1232;J1631-4155;252.63;-19.81;1.81408773956;53082.00000;*
1233;J1632-1013;248.12;11.58;1.39346151747;52820.00;*
1234;J1632-4509;253.37;-22.97;0.9552833060;51973.00000;*
1235;J1632-4621;253.69;-24.15;0.585084615090;51291.00001;*
1236;J1632-4757;253.88;-25.74;4.37505274487;55419;*
1237;J1632-4818;254.02;-26.08;1.2289964712;55426;*
1238;J1633-2009;249.85;1.78;1.06888190894;54993;*
1239;B1630-44;253.62;-22.66;2.29091559536;48360.6;*
1240;J1633-4805;254.05;-25.85;1.4068059721;51588.000;*
1241;B1629-50;254.44;-27.98;2.83973605453;57600;*
1242;J1634+02;246.55;24.29;471.698113;*;*
1243;J1634-4229;253.30;-20.29;0.496213150210;57603;*
1244;J1634-49;254.63;-27.56;1.45998937296;56657;*
1245;J1634-5107;254.80;-28.82;1.97100259922;54420;*
1246;J1634-5640;255.95;-34.28;4.4602796054;55010;*
1247;J1635-1511;249.57;6.76;0.84789807494;53000.0;*
1248;J1635+2332;242.03;44.94;0.827339092144;57935;*
1249;B1633+24;241.91751;45.71252;2.038708913957;48736.00;*
1250;J1635-4513;254.08;-22.94;0.6270592823;51306.000;*
1251;J1635-4735;254.47;-25.28;0.3854191;54734;*
1252;J1635-4944;254.87;-27.40;1.48817452033;51447.000;*
1253;B1630-59;256.79;-37.44;1.8899259613;43564.0529;*
1254;J1636-2614;251.24;-4.16;1.95904132159;57018;*
1255;J1636-4440;254.05;-22.39;4.8391348483;54411.5;*
1256;J1636-4803;254.68;-25.73;0.8301208425;51299.000;*
1257;J1636-4933;255.01;-27.19;2.3236006177;51305.000;*
1258;J1637-0314A;264.05;20.08;505.05656417562;58900;BT
1259;J1637-0314B;248.24;18.65;117.4;*;*
1260;J1637-0314C;248.24;18.65;118.2;*;*
1261;J1637-0314D;248.24;18.65;346.0;*;*
1262;J1637-0314E;248.24;18.65;438.6;*;*
1263;J1637-4335;254.20;-21.27;1.2964005406;51707.000;*
1264;J1637-4450;254.39;-22.51;3.9546035737;53283.00000;*
1265;B1634-45;254.58;-23.54;8.41939738252;55443;*
1266;J1637-46;254.56;-23.88;2.028023;50842.9;*
1267;J1637-4642;254.57;-24.37;6.491542203;55398;*
1268;J1637-4721;254.68;-25.01;0.85782319432;51296.000;*
1269;J1637-4816;254.98;-25.89;1.1942219218;54115.9;*
1270;J1638-35;252.89;-12.77;1.4;*;*
1271;J1638-3815;253.50;-15.97;1.4321300661;52135.00000;*
1272;J1638-3951;253.67;-17.58;1.29679780121;54863.3;*
1273;J1638+4005;236.37;61.17;1.30255755938;57491;*
1274;J1638-4233;254.12;-20.24;1.95721769266;56253;*
1275;J1638-4344;254.40;-21.39;0.89130992945;51707.000;*
1276;J1638-44;254.44;-22.32;1.7603878780;*;*
1277;J1638-4417;254.46;-21.93;8.4888197965;55410;*
1278;J1638-4608;254.69;-23.78;3.5951208300;55408;*
1279;J1638-4725;254.88;-25.05;1.3090145;52651.00000;MSS
1280;J1638-5226;255.90;-30.00;2.93683419334;52145.000;*
1281;J1639-4359;254.48;-21.64;1.70195680429;51490.000;*
1282;B1635-45;254.86;-23.69;3.77989053900;48360.7;*
1283;J1640+2224;243.98909040;44.05851688;316.12398422451724;55366.000;DDH
1284;J1640-4631;255.19;-24.10;4.843950957;56466.0;*
1285;J1640-4648;255.25;-24.38;5.6068883851;51608.000;*
1286;B1636-47;255.22;-24.84;1.9326284729;55392;*
1287;J1640-4951;255.75;-27.39;1.35299881667;51486.000;*
1288;J1641-2347;252.05;-1.57;0.916583201958;51500.000;*
1289;B1639+36A;239.57;57.84;96.362234567;47666.21;*
1290;B1639+36B;239.58;57.82;283.44094318360;58561.89;ELL1
1291;J1641+3627C;239.58;57.84;268.66686619507;58397.28;*
1292;J1641+3627D;239.58;57.85;320.6886956910;58397.28;ELL1
1293;J1641+3627E;239.58;57.85;402.0937023406;58397.28;ELL1
1294;J1641+3627F;239.59;57.86;332.9448049492;58398.00;ELL1
1295;J1641-5317;256.45;-30.78;5.71081786086;*;*
1296;J1641+8049;101.8728674;74.8941763;494.76063707093;56425;ELL1
1297;J1643-10;250.60;12.15;*;*;*
1298;J1643-1224;251.087221466;9.77833276;216.3733370950632;55637;T2
1299;J1643+1338;247.08;35.58;0.90987906068;57820;*
1300;J1643-4505;255.51;-22.61;4.212470392;55580;*
1301;J1643-4522;255.50;-22.89;0.74189508944;51590.00001;*
1302;J1643-4550;255.55;-23.37;1.39371250856;51685.000;*
1303;J1644-33;253.87;-10.62;2.518892;*;*
1304;J1644-44;255.56;-21.67;5.750081;51030.2;*
1305;B1641-45;255.87;-23.46;2.197424522481;57600;*
1306;J1644-46;255.81;-23.92;3.9850068;50839.0;*
1307;J1644-4657;255.99;-24.43;7.938887556;54835.1;*
1308;B1642-03;250.19;18.86;2.57938244186;46515.00;*
1309;J1645+1012;248.20;32.25;2.433914834963;48957.5;*
1310;J1646-1910;252.61;3.16;0.2075663829;57823;*
1311;J1646-2142;252.92;0.65;170.940171;55561;BT
1312;J1646-4308;255.86;-20.59;1.1895132775;51757.000;*
1313;B1643-43;255.93;-21.23;4.3177272236;48657.8000;*
1314;J1646-5123;257.05;-28.77;1.88652475351;52906.00000;*
1315;B1641-68;260.55;-45.69;0.560031669373;57600;*
1316;J1647-3607;255.07;-13.61;4.7099515469;54984;*
1317;J1647-4552;256.30;-23.29;0.0942448774;54008.0;*
1318;J1647+6608;174.9821;82.74687;0.62507876955;56500;*
1319;J1648-3256;254.73;-10.45;1.389941423107;49411.8000;*
1320;J1648-4458;256.37;-22.38;1.5882304862;51590.000;*
1321;J1648-4611;256.57;-23.58;6.0621606076;55395;*
1322;J1648-6044;259.08;-37.97;1.71301809003;55222;*
1323;J1649+2533;246.21;47.55;0.9849718978;51825.0;*
1324;J1649-3012;254.75;-7.69;292.02;58563;*
1325;J1649-3805;255.74;-15.53;3.81641963682;52885.00000;*
1326;J1649-3935;255.80;-17.03;1.29716868462;55985;*
1327;J1649-4349;256.42;-21.21;1.14848595852;51243.000;*
1328;J1649-4653;256.87;-24.25;1.79521547256;55360;*
1329;J1649-4729;256.93;-24.86;3.3591743451;51157.000;*
1330;J1649-5553;258.30;-33.17;1.62980401915;51650.000;*
